R‚fProduit;NomProduit;PrixUnitaire;international
247;NADOR - DANEMARK;0,00;TRUE
248;ALMERIA - TETOUAN;0,00;TRUE
249;MALAGA - TETOUAN;0,00;TRUE
250;NEDERLANDS - TETOUAN;0,00;TRUE
251;BURGOS (Espagne) - NADOR (MAROC);0,00;TRUE
252;AMENDE SUR LE TONNAGE;0,00;TRUE
253;ALGECIRAS-NADOR;0,00;TRUE
254;France - OUJDA;0,00;TRUE
255;BERKANE-BEAUCAIRE;0,00;TRUE
256;AGADIR - PERPIGNAN;0,00;TRUE
